,Well,Fluor,Type,Identifier,Replicate #,Threshold Cycle (Ct),Ct Mean,Ct Std. Dev,Starting Quantity (SQ),Log Starting Quantity,SQ Mean,SQ Std. Dev.,Set Point
,A01,SYBR,Unkn,CT-Cont,1,25.59,26.13,0.509,0.000E+00,###############################################################################################################################################################################################################################################################,0.00E+00,0.00E+00,N/A
,A02,SYBR,Unkn,CT-Cont,1,26.60,26.13,0.509,0.000E+00,###############################################################################################################################################################################################################################################################,0.00E+00,0.00E+00,N/A
,A03,SYBR,Unkn,CT-Cont,1,26.21,26.13,0.509,0.000E+00,###############################################################################################################################################################################################################################################################,0.00E+00,0.00E+00,N/A
,A04,SYBR,Unkn,In-Cont,8,23.70,24.23,0.475,0.000E+00,###############################################################################################################################################################################################################################################################,0.00E+00,0.00E+00,N/A
,A05,SYBR,Unkn,In-Cont,8,24.34,24.23,0.475,0.000E+00,###############################################################################################################################################################################################################################################################,0.00E+00,0.00E+00,N/A
,A06,SYBR,Unkn,In-Cont,8,24.63,24.23,0.475,0.000E+00,###############################################################################################################################################################################################################################################################,0.00E+00,0.00E+00,N/A
,A08,SYBR,Unkn,CT-Cont(N),15,N/A,00.00,N/A,0.000E+00,###############################################################################################################################################################################################################################################################,0.00E+00,0.00E+00,N/A
,A09,SYBR,Unkn,CT-Cont(N),15,N/A,00.00,N/A,0.000E+00,###############################################################################################################################################################################################################################################################,0.00E+00,0.00E+00,N/A
,A10,SYBR,Unkn,In-Cont(N),22,N/A,00.00,N/A,0.000E+00,###############################################################################################################################################################################################################################################################,0.00E+00,0.00E+00,N/A
,A11,SYBR,Unkn,In-Cont(N),22,N/A,00.00,N/A,0.000E+00,###############################################################################################################################################################################################################################################################,0.00E+00,0.00E+00,N/A
,B01,SYBR,Unkn,CT-0.5,2,25.54,26.03,0.422,0.000E+00,###############################################################################################################################################################################################################################################################,0.00E+00,0.00E+00,N/A
,B02,SYBR,Unkn,CT-0.5,2,26.25,26.03,0.422,0.000E+00,###############################################################################################################################################################################################################################################################,0.00E+00,0.00E+00,N/A
,B03,SYBR,Unkn,CT-0.5,2,26.29,26.03,0.422,0.000E+00,###############################################################################################################################################################################################################################################################,0.00E+00,0.00E+00,N/A
,B04,SYBR,Unkn,In-0.5,9,25.78,26.15,0.400,0.000E+00,###############################################################################################################################################################################################################################################################,0.00E+00,0.00E+00,N/A
,B05,SYBR,Unkn,In-0.5,9,26.08,26.15,0.400,0.000E+00,###############################################################################################################################################################################################################################################################,0.00E+00,0.00E+00,N/A
,B06,SYBR,Unkn,In-0.5,9,26.58,26.15,0.400,0.000E+00,###############################################################################################################################################################################################################################################################,0.00E+00,0.00E+00,N/A
