,"Well","Fluor","Type","Identifier","Replicate #","Threshold Cycle (Ct)","Ct Mean","Ct Std. Dev","Starting Quantity (SQ)","Log Starting Quantity","SQ Mean","SQ Std. Dev.","Set Point"
,"A01","SYBR","Std","Actin7",1,"19,03","18,53","0,454","1,000E+00","N/A","1,00E+00","0,00E+00","N/A"
,"A02","SYBR","Std","Actin7",1,"18,41","18,53","0,454","1,000E+00","N/A","1,00E+00","0,00E+00","N/A"
,"A03","SYBR","Std","Actin7",1,"18,14","18,53","0,454","1,000E+00","N/A","1,00E+00","0,00E+00","N/A"
,"A04","SYBR","Std","AT1G03370",7,"22,25","22,14","0,126","1,000E+00","N/A","1,00E+00","0,00E+00","N/A"
,"A05","SYBR","Std","AT1G03370",7,"22,00","22,14","0,126","1,000E+00","N/A","1,00E+00","0,00E+00","N/A"
,"A06","SYBR","Std","AT1G03370",7,"22,16","22,14","0,126","1,000E+00","N/A","1,00E+00","0,00E+00","N/A"
,"A07","SYBR","Std","AT1G05180",13,"20,02","19,95","0,061","1,000E+00","N/A","1,00E+00","0,00E+00","N/A"
,"A08","SYBR","Std","AT1G05180",13,"19,91","19,95","0,061","1,000E+00","N/A","1,00E+00","0,00E+00","N/A"
,"A09","SYBR","Std","AT1G05180",13,"19,93","19,95","0,061","1,000E+00","N/A","1,00E+00","0,00E+00","N/A"
,"A10","SYBR","Std","AT1G13450",19,"27,87","27,95","0,254","1,000E+00","N/A","1,00E+00","0,00E+00","N/A"
,"A11","SYBR","Std","AT1G13450",19,"27,74","27,95","0,254","1,000E+00","N/A","1,00E+00","0,00E+00","N/A"
,"A12","SYBR","Std","AT1G13450",19,"28,23","27,95","0,254","1,000E+00","N/A","1,00E+00","0,00E+00","N/A"
,"B01","SYBR","Std","Actin7",2,"22,22","20,90","1,181","1,000E-01","-1,000","1,00E-01","1,70E-17","N/A"
,"B02","SYBR","Std","Actin7",2,"20,55","20,90","1,181","1,000E-01","-1,000","1,00E-01","1,70E-17","N/A"
,"B03","SYBR","Std","Actin7",2,"19,93","20,90","1,181","1,000E-01","-1,000","1,00E-01","1,70E-17","N/A"
,"B04","SYBR","Std","AT1G03370",8,"24,73","24,61","0,136","1,000E-01","-1,000","1,00E-01","1,70E-17","N/A"
,"B05","SYBR","Std","AT1G03370",8,"24,46","24,61","0,136","1,000E-01","-1,000","1,00E-01","1,70E-17","N/A"
,"B06","SYBR","Std","AT1G03370",8,"24,64","24,61","0,136","1,000E-01","-1,000","1,00E-01","1,70E-17","N/A"
,"B07","SYBR","Std","AT1G05180",14,"23,27","23,03","0,229","1,000E-01","-1,000","1,00E-01","1,70E-17","N/A"
,"B08","SYBR","Std","AT1G05180",14,"23,00","23,03","0,229","1,000E-01","-1,000","1,00E-01","1,70E-17","N/A"
