Run Summary        (Smart Cycler 2.0d)
Run Name:,dotA- 455-468
Std Curve:,dotA-umeritvena
Started At:,"Oct 11, 2010 11:54 AM"
Number of Sites:,24

Cycle Data

Instrument A
,A1,A1,A1,A1,A1,A1,A1,A1,A2,A2,A2,A2,A2,A2,A2,A2,A3,A3,A3,A3,A3,A3,A3,A3,A4,A4,A4,A4,A4,A4,A4,A4,A5,A5,A5,A5,A5,A5,A5,A5,A6,A6,A6,A6,A6,A6,A6,A6,A7,A7,A7,A7,A7,A7,A7,A7,A8,A8,A8,A8,A8,A8,A8,A8,A9,A9,A9,A9,A9,A9,A9,A9,A13,A13,A13,A13,A13,A13,A13,A13,A1,A1,A1,A1,A1,A1,A1,A1,A2,A2,A2,A2,A2,A2,A2,A2,A3,A3,A3,A3,A3,A3,A3,A3,A4,A4,A4,A4,A4,A4,A4,A4,A5,A5,A5,A5,A5,A5,A5,A5,A6,A6,A6,A6,A6,A6,A6,A6,A7,A7,A7,A7,A7,A7,A7,A7,A8,A8,A8,A8,A8,A8,A8,A8,A9,A9,A9,A9,A9,A9,A9,A9,A10,A10,A10,A10,A10,A10,A10,A10,A11,A11,A11,A11,A11,A11,A11,A11,A12,A12,A12,A12,A12,A12,A12,A12,A13,A13,A13,A13,A13,A13,A13,A13,A14,A14,A14,A14,A14,A14,A14,A14
,FAM,FAM D2,Cy3,Cy3 D2,TxR,TxR D2,Cy5,Cy5 D2,FAM,FAM D2,Cy3,Cy3 D2,TxR,TxR D2,Cy5,Cy5 D2,FAM,FAM D2,Cy3,Cy3 D2,TxR,TxR D2,Cy5,Cy5 D2,FAM,FAM D2,Cy3,Cy3 D2,TxR,TxR D2,Cy5,Cy5 D2,FAM,FAM D2,Cy3,Cy3 D2,TxR,TxR D2,Cy5,Cy5 D2,FAM,FAM D2,Cy3,Cy3 D2,TxR,TxR D2,Cy5,Cy5 D2,FAM,FAM D2,Cy3,Cy3 D2,TxR,TxR D2,Cy5,Cy5 D2,FAM,FAM D2,Cy3,Cy3 D2,TxR,TxR D2,Cy5,Cy5 D2,FAM,FAM D2,Cy3,Cy3 D2,TxR,TxR D2,Cy5,Cy5 D2,FAM,FAM D2,Cy3,Cy3 D2,TxR,TxR D2,Cy5,Cy5 D2,FAM,FAM D2,Cy3,Cy3 D2,TxR,TxR D2,Cy5,Cy5 D2,FAM,FAM D2,Cy3,Cy3 D2,TxR,TxR D2,Cy5,Cy5 D2,FAM,FAM D2,Cy3,Cy3 D2,TxR,TxR D2,Cy5,Cy5 D2,FAM,FAM D2,Cy3,Cy3 D2,TxR,TxR D2,Cy5,Cy5 D2,FAM,FAM D2,Cy3,Cy3 D2,TxR,TxR D2,Cy5,Cy5 D2,FAM,FAM D2,Cy3,Cy3 D2,TxR,TxR D2,Cy5,Cy5 D2,FAM,FAM D2,Cy3,Cy3 D2,TxR,TxR D2,Cy5,Cy5 D2,FAM,FAM D2,Cy3,Cy3 D2,TxR,TxR D2,Cy5,Cy5 D2,FAM,FAM D2,Cy3,Cy3 D2,TxR,TxR D2,Cy5,Cy5 D2,FAM,FAM D2,Cy3,Cy3 D2,TxR,TxR D2,Cy5,Cy5 D2,FAM,FAM D2,Cy3,Cy3 D2,TxR,TxR D2,Cy5,Cy5 D2,FAM,FAM D2,Cy3,Cy3 D2,TxR,TxR D2,Cy5,Cy5 D2,FAM,FAM D2,Cy3,Cy3 D2,TxR,TxR D2,Cy5,Cy5 D2,FAM,FAM D2,Cy3,Cy3 D2,TxR,TxR D2,Cy5,Cy5 D2
Cycle #,FAM,FAM D2,Cy3,Cy3 D2,TxR,TxR D2,Cy5,Cy5 D2,FAM,FAM D2,Cy3,Cy3 D2,TxR,TxR D2,Cy5,Cy5 D2,FAM,FAM D2,Cy3,Cy3 D2,TxR,TxR D2,Cy5,Cy5 D2,FAM,FAM D2,Cy3,Cy3 D2,TxR,TxR D2,Cy5,Cy5 D2,FAM,FAM D2,Cy3,Cy3 D2,TxR,TxR D2,Cy5,Cy5 D2,FAM,FAM D2,Cy3,Cy3 D2,TxR,TxR D2,Cy5,Cy5 D2,FAM,FAM D2,Cy3,Cy3 D2,TxR,TxR D2,Cy5,Cy5 D2,FAM,FAM D2,Cy3,Cy3 D2,TxR,TxR D2,Cy5,Cy5 D2,FAM,FAM D2,Cy3,Cy3 D2,TxR,TxR D2,Cy5,Cy5 D2,FAM,FAM D2,Cy3,Cy3 D2,TxR,TxR D2,Cy5,Cy5 D2,FAM,FAM D2,Cy3,Cy3 D2,TxR,TxR D2,Cy5,Cy5 D2,FAM,FAM D2,Cy3,Cy3 D2,TxR,TxR D2,Cy5,Cy5 D2,FAM,FAM D2,Cy3,Cy3 D2,TxR,TxR D2,Cy5,Cy5 D2,FAM,FAM D2,Cy3,Cy3 D2,TxR,TxR D2,Cy5,Cy5 D2,FAM,FAM D2,Cy3,Cy3 D2,TxR,TxR D2,Cy5,Cy5 D2,FAM,FAM D2,Cy3,Cy3 D2,TxR,TxR D2,Cy5,Cy5 D2,FAM,FAM D2,Cy3,Cy3 D2,TxR,TxR D2,Cy5,Cy5 D2,FAM,FAM D2,Cy3,Cy3 D2,TxR,TxR D2,Cy5,Cy5 D2,FAM,FAM D2,Cy3,Cy3 D2,TxR,TxR D2,Cy5,Cy5 D2,FAM,FAM D2,Cy3,Cy3 D2,TxR,TxR D2,Cy5,Cy5 D2,FAM,FAM D2,Cy3,Cy3 D2,TxR,TxR D2,Cy5,Cy5 D2,FAM,FAM D2,Cy3,Cy3 D2,TxR,TxR D2,Cy5,Cy5 D2,FAM,FAM D2,Cy3,Cy3 D2,TxR,TxR D2,Cy5,Cy5 D2,FAM,FAM D2,Cy3,Cy3 D2,TxR,TxR D2,Cy5,Cy5 D2
1,1.0861538461538462,0.0,-1.2842127842127842,0.0,-0.16014586014586008,0.0,0.4477477477477478,0.0,3.175384615384615,0.0,0.011111111111111021,0.0,-0.058000858000858004,0.0,0.8083226083226083,0.0,1.6769230769230774,0.0,-4.186529386529385,0.0,-0.3628056628056628,0.0,0.0,0.0,2.079802955665024,0.0,-8.877434577434578,0.0,0.9586014586014586,0.0,-0.04405834405834406,0.0,1.8610837438423657,0.0,-1.4788502788502789,0.0,-0.2713856713856714,0.0,0.05512655512655512,0.0,1.889061920652579,0.0,-1.756499356499357,0.0,-0.009995709995709994,0.0,0.26117546117546114,0.0,4.102941176470588,0.0,-5.795280995280995,0.0,0.0,0.0,0.03650793650793649,0.0,0.818627450980395,0.0,-7.371256971256972,0.0,0.19073359073359072,0.0,0.0,0.0,2.0352049910873444,0.0,-2.5241527241527235,0.0,1.0,0.0,-0.2853281853281853,0.0,-0.5721925133689838,0.0,-5.891891891891891,0.0,-0.24272844272844274,0.0,-0.34066924066924065,0.0,2.6616935483870967,0.0,-3.62067562067562,0.0,-0.2327327327327328,0.0,0.0,0.0,3.1510567296996657,0.0,-2.580382580382578,0.0,0.0,0.0,0.04937794937794937,0.0,1.2959584723767152,0.0,-7.446360153256705,0.0,0.721063921063921,0.0,-0.16623766623766623,0.0,2.7232397232397236,0.0,8.356027456027455,0.0,0.05195195195195195,0.0,0.31587301587301586,0.0,2.6568986568986563,0.0,2.5806520806520803,0.0,-0.1642213642213642,0.0,0.8605748605748605,0.0,2.0911680911680905,0.0,0.0798029556650245,0.0,0.0,0.0,0.26096096096096094,0.0,2.8503010399562125,0.0,4.791891891891891,0.0,-0.3258687258687259,0.0,0.8402402402402402,0.0,3.852055352055352,0.0,-0.9378762999452653,0.0,-0.297983697983698,0.0,0.0,0.0,0.5378378378378382,0.0,2.973230373230372,0.0,-0.1190905190905191,0.0,0.0,0.0,1.9330049261083742,0.0,-4.349206349206349,0.0,-0.26349206349206356,0.0,-0.7166881166881167,0.0,-0.5596059113300483,0.0,-7.772413793103448,0.0,1.7531960531960533,0.0,0.37314457314457317,0.0,1.8197044334975367,0.0,0.15369458128078758,0.0,-0.18133848133848132,0.0,0.0,0.0,2.900476539589443,0.0,-4.816748768472906,0.0,-0.3516087516087517,0.0,0.31981981981981983,0.0,2.114114114114114,0.0,-7.021653689284391,0.0,-0.42942942942942947,0.0,-0.11643071643071644,0.0
2,1.3807692307692296,0.0,-2.3614328614328746,0.0,-0.11522951522951518,0.0,0.45405405405405413,0.0,1.4969230769230812,0.0,0.9111111111111168,0.0,-0.05401115401115401,0.0,-0.1918060918060918,0.0,0.9246153846153818,0.0,-2.291548691548696,0.0,-0.34980694980694976,0.0,0.0,0.0,1.4029556650246282,0.0,-5.773316173316182,0.0,-0.03818103818103817,0.0,-0.039425139425139345,0.0,2.2251231527093664,0.0,-1.3583869583869492,0.0,0.7386529386529387,0.0,0.049978549978549974,0.0,1.2049684835001804,0.0,-1.6011583011582884,0.0,0.0033891033891033906,0.0,0.2619476619476619,0.0,3.365975935828879,0.0,-3.7053196053196076,0.0,0.0,0.0,0.041269841269841234,0.0,0.1625445632798601,0.0,-6.259673959673965,0.0,0.21287001287001292,0.0,0.0,0.0,2.227384135472367,0.0,-1.3473187473187336,0.0,0.0,0.0,-0.2759330759330759,0.0,-0.3262032085561459,0.0,-4.761261261261257,0.0,-0.18880308880308883,0.0,0.6712998712998713,0.0,1.8475806451612917,0.0,-3.1811151811151537,0.0,-0.19219219219219244,0.0,0.0,0.0,1.3374860956618495,0.0,-0.607244607244612,0.0,0.0,0.0,0.04191334191334191,0.0,1.4601408972932903,0.0,-5.577996715927753,0.0,-0.25950235950235956,0.0,-0.16108966108966108,0.0,1.9247049247049206,0.0,8.728356928356938,0.0,0.07537537537537536,0.0,0.30634920634920637,0.0,1.8339438339438365,0.0,2.381810381810376,0.0,-0.1682110682110682,0.0,-0.14586014586014587,0.0,2.364672364672363,0.0,0.1788177339901377,0.0,0.0,0.0,0.25915915915915916,0.0,3.013957307060755,0.0,5.061261261261262,0.0,-0.302960102960103,0.0,0.8231231231231231,0.0,3.05901505901506,0.0,0.9646962233169,0.0,-0.27378807378807385,0.0,0.0,0.0,-0.3747747747747813,0.0,3.718661518661527,0.0,0.8851565851565851,0.0,0.0,0.0,2.2221674876847355,0.0,-3.119047619047614,0.0,-0.22539682539682548,0.0,0.283054483054483,0.0,0.6630541871921211,0.0,-6.451724137931047,0.0,0.7582153582153582,0.0,-0.6157872157872157,0.0,1.111330049261087,0.0,-0.6192118226600921,0.0,-0.1574002574002574,0.0,1.0,0.0,2.054618768328448,0.0,-3.7004926108374443,0.0,-0.3042471042471043,0.0,0.3243243243243243,0.0,1.3168168168168226,0.0,-4.897960697070828,0.0,-0.415915915915916,0.0,-0.1135993135993136,0.0
3,0.6753846153846131,0.0,-2.4386529386529365,25.0,-0.07031317031317026,0.0,0.4603603603603604,-6.25,1.8184615384615335,6.25,0.8111111111111224,-6.25,-0.05002145002145001,0.0,0.8080652080652081,0.0,1.172307692307686,0.0,-1.3965679965680076,-6.25,-0.33680823680823674,0.0,0.0,0.0,0.7261083743842326,12.5,-4.669197769197758,-6.25,-0.03496353496353496,6.25,-0.034791934791934855,0.0,1.589162561576353,-6.25,-0.237923637923648,0.0,0.7486915486915487,-6.25,0.04483054483054483,0.0,2.520875046347796,-12.5,-0.44581724581724824,6.25,0.016773916773916774,0.0,0.26271986271986264,0.0,2.62901069518717,6.25,-2.6153582153582193,-6.25,0.0,0.0,0.04603174603174598,-6.25,0.5064616755793252,0.0,-4.148090948090957,-6.25,0.2350064350064349,0.0,0.0,0.0,2.4195632798574036,-6.25,-1.170484770484772,-6.25,0.0,6.25,-0.2665379665379665,0.0,-0.08021390374332223,-6.25,-3.6306306306306233,0.0,-0.13487773487773488,0.0,0.6832689832689833,-12.5,1.0334677419354867,6.25,-3.741554741554744,18.75,-0.15165165165165165,0.0,0.0,0.0,2.523915461624026,-6.25,-0.6341066341066459,-12.5,0.0,0.0,0.03444873444873444,0.0,0.6243233222098654,0.0,-3.709633278598801,-12.5,-0.24006864006864012,6.25,-0.15594165594165593,0.0,2.1261701261701322,0.0,9.100686400686392,-12.5,0.09879879879879878,0.0,0.29682539682539677,0.0,2.010989010989009,0.0,3.1829686829686716,-6.25,-0.1722007722007722,0.0,0.8477048477048477,-6.25,0.6381766381766355,12.5,0.2778325123152793,6.25,0.0,0.0,0.2573573573573574,0.0,1.1776135741652978,12.5,6.330630630630634,-12.5,-0.28005148005148006,0.0,0.8060060060060059,-6.25,2.265974765974768,6.25,0.8672687465790937,-12.5,-0.24959244959244958,0.0,0.0,0.0,-0.2873873873873866,6.25,4.464092664092654,-6.25,-0.1105963105963106,0.0,0.0,0.0,1.511330049261083,0.0,-1.8888888888888795,-6.25,-0.18730158730158739,0.0,0.2827970827970827,-6.25,-0.11428571428570956,0.0,-5.131034482758617,6.25,0.7632346632346633,0.0,0.39528099528099525,-6.25,1.402955665024637,0.0,0.6078817733990282,-6.25,-0.13346203346203345,0.0,0.0,0.0,2.208760997067453,6.25,-1.5842364532019826,-6.25,-0.256885456885457,0.0,-0.6711711711711712,12.5,1.5195195195195172,0.0,-3.7742677048572366,-6.25,-0.4024024024024025,0.0,-0.11076791076791077,0.0
4,-0.030000000000003507,12.5,-0.5158730158730269,0.0,-1.0253968253968253,12.5,-0.5333333333333333,6.25,1.14,0.0,0.7111111111110997,0.0,-0.046031746031746014,0.0,-0.19206349206349205,0.0,1.4200000000000046,-6.25,-0.5015873015873191,-12.5,-0.3238095238095238,0.0,0.0,0.0,1.0492610837438368,0.0,-3.565079365079363,0.0,-0.03174603174603174,0.0,-0.030158730158730142,0.0,0.9532019704433535,6.25,-0.11746031746031836,0.0,-0.24126984126984133,6.25,0.03968253968253968,0.0,1.8367816091953975,-6.25,0.7095238095238203,-6.25,0.03015873015873016,0.0,0.2634920634920635,0.0,2.8920454545454612,-6.25,-1.525396825396831,0.0,0.0,0.0,0.050793650793650724,0.0,0.8503787878787903,-6.25,-3.0365079365079484,-6.25,0.25714285714285706,0.0,0.0,0.0,1.611742424242426,0.0,-0.9936507936507821,0.0,0.0,0.0,-0.2571428571428571,6.25,0.16577540106951566,0.0,-2.4999999999999893,-6.25,-0.08095238095238094,0.0,0.6952380952380952,0.0,1.2193548387096746,0.0,-2.3019943019942777,0.0,-0.1111111111111113,0.0,0.0,0.0,0.7103448275862096,6.25,-0.6609686609686514,6.25,0.0,0.0,0.026984126984126982,0.0,0.7885057471264405,0.0,-2.841269841269849,-6.25,-0.2206349206349206,0.0,0.8492063492063492,-12.5,1.3276353276353292,0.0,8.473015873015875,-6.25,0.12222222222222222,0.0,-0.7126984126984127,12.5,1.1880341880341894,0.0,2.9841269841269957,-6.25,-0.1761904761904762,0.0,-0.15873015873015872,0.0,0.911680911680908,12.5,1.3768472906403926,-12.5,0.0,0.0,0.2555555555555555,0.0,1.3412698412698403,6.25,5.600000000000006,0.0,-0.2571428571428572,0.0,-0.21111111111111114,12.5,1.472934472934476,6.25,0.769841269841259,0.0,-0.22539682539682543,0.0,0.0,0.0,-0.2000000000000061,0.0,5.209523809523809,-12.5,0.8936507936507936,0.0,0.0,0.0,0.8004926108374446,12.5,-1.6587301587301448,0.0,-0.1492063492063493,0.0,0.2825396825396824,0.0,0.10837438423645983,6.25,-2.8103448275862157,-12.5,0.7682539682539683,-6.25,0.40634920634920635,-6.25,1.694581280788173,-6.25,-0.16502463054188002,0.0,-0.10952380952380952,0.0,0.0,6.25,2.3629032258064577,-6.25,-0.4679802955664921,-18.75,-0.20952380952380958,0.0,-0.6666666666666667,12.5,1.722222222222226,-6.25,-2.6505747126436736,0.0,-0.3888888888888889,6.25,-0.10793650793650794,0.0
5,0.26461538461537987,6.25,0.40690690690691117,-18.75,0.019519519519519565,0.0,-0.5270270270270271,6.25,1.4615384615384663,-6.25,0.6111111111111054,6.25,-0.04204204204204202,0.0,0.8078078078078078,0.0,0.667692307692309,0.0,0.3933933933933694,-6.25,-0.3108108108108108,0.0,0.0,0.0,1.372413793103441,-6.25,-1.460960960960968,-12.5,-0.028528528528528527,0.0,-0.02552552552552543,0.0,0.3172413793103401,12.5,1.0030030030030113,-6.25,0.7687687687687688,0.0,0.03453453453453453,0.0,1.152688172043013,6.25,1.8648648648648605,-18.75,0.04354354354354355,0.0,0.26426426426426425,0.0,2.155080213903738,0.0,-0.4354354354354427,-6.25,0.0,0.0,-0.9444444444444444,12.5,0.19429590017825538,6.25,-1.9249249249249123,0.0,0.27927927927927926,0.0,0.0,0.0,1.8039215686274486,-6.25,-0.8168168168168206,0.0,0.0,0.0,-0.24774774774774774,0.0,-0.5882352941176465,12.5,-1.3693693693693554,0.0,-0.02702702702702703,0.0,-0.2927927927927928,12.5,0.4052419354838698,6.25,-0.8624338624338682,-18.75,-0.0705705705705705,0.0,0.0,0.0,0.8967741935483862,12.5,-0.6878306878306852,6.25,0.0,0.0,0.019519519519519517,0.0,-0.04731182795698444,6.25,-1.9729064039408968,0.0,-0.2012012012012012,0.0,-0.14564564564564564,0.0,1.5291005291005264,0.0,7.845345345345358,0.0,0.14564564564564564,-6.25,0.2777777777777778,-6.25,1.3650793650793622,0.0,2.7852852852852914,0.0,-0.1801801801801802,0.0,-0.16516516516516516,6.25,1.1851851851851878,-6.25,1.4758620689655058,-12.5,0.0,0.0,0.2537537537537537,0.0,1.5049261083743828,-6.25,5.869369369369378,0.0,-0.23423423423423426,0.0,-0.22822822822822825,6.25,1.6798941798941769,0.0,0.6724137931034527,0.0,-0.20120120120120127,0.0,0.0,0.0,-0.11261261261261138,0.0,4.954954954954964,-6.25,-0.1021021021021021,0.0,0.0,0.0,1.089655172413792,0.0,-0.4285714285714385,-6.25,-0.11111111111111117,0.0,0.28228228228228236,0.0,0.331034482758615,0.0,-1.4896551724137856,-12.5,-0.22672672672672672,6.25,-0.5825825825825826,12.5,0.9862068965517233,0.0,0.06206896551724027,6.25,-0.08558558558558559,0.0,0.0,0.0,2.5170454545454484,-12.5,0.6482758620689698,-12.5,-0.16216216216216223,0.0,0.3378378378378379,-6.25,0.9249249249249207,6.25,-1.5268817204301106,0.0,-0.3753753753753754,0.0,-0.10510510510510511,0.0
6,0.5592307692307633,-6.25,1.3296868296868207,-12.5,0.06443586443586448,-12.5,-0.5207207207207207,0.0,0.7830769230769187,0.0,0.5111111111111111,6.25,-0.03805233805233802,0.0,-0.1923208923208923,0.0,0.9153846153846134,0.0,-0.7116259116258854,12.5,-0.2978120978120978,0.0,0.0,0.0,0.6955665024630596,6.25,-1.3568425568425442,0.0,-0.025311025311025307,0.0,-0.02089232089232094,0.0,0.6812807881773407,0.0,1.1234663234663125,-6.25,-0.2211926211926212,6.25,0.029386529386529383,0.0,1.4685947348906145,0.0,2.020205920205929,-12.5,0.05692835692835693,0.0,0.265036465036465,0.0,1.4181149732620293,12.5,0.6545259545259455,-18.75,0.0,0.0,0.060317460317460325,0.0,0.5382130124777205,0.0,-0.8133419133419043,-12.5,0.30141570141570145,0.0,0.0,0.0,0.996100713012471,0.0,-0.6399828399828307,0.0,0.0,0.0,0.7616473616473617,-12.5,0.6577540106951913,0.0,-1.2387387387387498,6.25,0.026898326898326885,0.0,0.7191763191763192,0.0,0.5911290322580648,0.0,-1.4228734228734017,0.0,-0.030030030030030158,0.0,0.0,0.0,1.0832035595105698,0.0,0.28530728530728094,-6.25,0.0,0.0,0.012054912054912052,0.0,0.11687059695959065,6.25,-1.1045429666119446,-6.25,-0.18176748176748178,0.0,-0.1404976404976405,6.25,0.7305657305657237,0.0,7.217674817674812,0.0,0.16906906906906907,0.0,0.2682539682539682,-6.25,0.5421245421245421,0.0,2.586443586443587,0.0,-0.1841698841698842,0.0,-0.1716001716001716,0.0,1.4586894586894603,-6.25,0.5748768472906473,6.25,0.0,0.0,0.2519519519519519,0.0,0.6685823754789253,0.0,6.138738738738749,-12.5,-0.21132561132561134,0.0,0.7546546546546546,-12.5,0.8868538868538849,0.0,0.574986316365618,0.0,-0.177005577005577,0.0,0.0,0.0,-0.02522522522523088,0.0,4.7003861003860905,0.0,0.9021450021450022,-6.25,0.0,0.0,1.3788177339901535,-12.5,-0.19841269841270381,-6.25,-0.07301587301587308,0.0,0.2820248820248821,-6.25,0.5536945812807844,0.0,-1.1689655172413842,0.0,-0.2217074217074217,6.25,0.42848562848562854,-6.25,1.2778325123152734,0.0,0.28916256157636056,0.0,-0.06164736164736164,-6.25,0.0,0.0,1.671187683284453,-6.25,-0.23546798029556829,0.0,-0.11480051480051488,0.0,0.34234234234234234,-6.25,1.1276276276276296,0.0,-0.4031887282165475,-6.25,0.6381381381381381,-6.25,-0.10227370227370228,0.0
7,0.8538461538461609,-6.25,0.2524667524667588,6.25,0.10935220935220939,-6.25,-0.5144144144144145,0.0,0.10461538461538507,12.5,1.4111111111111168,-12.5,-0.034062634062634024,0.0,0.8075504075504075,-6.25,0.16307692307691765,6.25,1.183354783354803,-12.5,-0.28481338481338475,6.25,0.0,0.0,1.0187192118226638,0.0,-0.25272415272414883,0.0,-0.02209352209352209,0.0,-0.016259116259116226,0.0,1.0453201970443415,-6.25,1.2439296439296421,-6.25,0.7888459888459889,-6.25,0.024238524238524232,0.0,0.7845012977382301,0.0,1.1755469755469692,0.0,0.07031317031317032,0.0,0.26580866580866575,0.0,1.6811497326203204,0.0,0.7444873444873338,-6.25,0.0,0.0,0.06507936507936507,-6.25,0.8821301247771856,-12.5,0.2982410982411035,-12.5,0.3235521235521234,0.0,0.0,0.0,0.18827985739750774,12.5,-0.46314886314886916,6.25,0.0,0.0,-0.22895752895752897,0.0,0.903743315508015,-12.5,0.891891891891884,-12.5,0.08082368082368085,0.0,0.7311454311454312,-12.5,0.7770161290322598,-6.25,-0.9833129833129922,12.5,0.010510510510510634,0.0,0.0,0.0,1.2696329254727463,-12.5,0.2584452584452471,-6.25,0.0,0.0,0.00459030459030459,0.0,0.2810530218761657,0.0,-0.23617952928296404,-12.5,-0.16233376233376237,0.0,-0.13534963534963534,0.0,0.9320309320309351,0.0,6.590004290004295,-6.25,-0.8075075075075075,12.5,-0.7412698412698413,12.5,0.719169719169722,0.0,2.3876018876018827,0.0,-0.1881595881595882,0.0,-0.17803517803517804,6.25,0.7321937321937327,0.0,0.6738916256157604,6.25,0.0,0.0,0.25015015015015013,0.0,0.8322386425834678,0.0,5.408108108108121,0.0,-0.18841698841698845,0.0,-0.2624624624624625,0.0,1.0938135938135929,0.0,0.47755883962781176,0.0,-0.15280995280995285,0.0,0.0,0.0,0.06216216216216383,0.0,4.445817245817246,0.0,-0.09360789360789362,0.0,0.0,0.0,0.6679802955665008,0.0,0.03174603174603084,0.0,-0.034920634920634984,0.0,0.2817674817674818,-6.25,0.7763546798029538,-6.25,0.15172413793104564,-6.25,-0.2166881166881167,0.0,0.43955383955383953,-6.25,0.5694581280788237,0.0,0.5162561576354808,0.0,-0.037709137709137704,0.0,0.0,0.0,0.825329912023458,6.25,0.8807881773398937,-6.25,-0.0674388674388675,0.0,0.3468468468468469,-6.25,1.3303303303303242,-6.25,0.7205042639970439,-18.75,-0.3483483483483483,0.0,-0.09944229944229944,0.0
8,0.14846153846154428,0.0,1.1752466752466684,-6.25,-0.8457314457314457,12.5,-0.5081081081081081,0.0,0.4261538461538515,0.0,1.3111111111111224,-12.5,-0.030072930072930024,0.0,-0.19257829257829256,0.0,0.41076923076923616,0.0,1.0783354783354915,-18.75,-0.27181467181467184,0.0,0.0,0.0,1.341871921182268,-6.25,0.8513942513942465,-12.5,-0.018876018876018873,0.0,-0.011625911625911733,0.0,0.409359605911328,0.0,1.3643929643929718,-6.25,0.798884598884599,-12.5,0.019090519090519086,0.0,1.1004078605858316,0.0,1.3308880308880378,0.0,0.0836979836979837,0.0,0.2665808665808666,0.0,1.9441844919786115,-6.25,-0.165551265551278,6.25,0.0,0.0,0.06984126984126982,0.0,0.22604723707665064,0.0,-0.5901758901758886,6.25,0.3456885456885456,0.0,0.0,0.0,0.3804590017825302,6.25,-0.2863148863148792,6.25,0.0,0.0,-0.21956241956241956,12.5,1.1497326203208529,-6.25,1.022522522522518,-12.5,0.13474903474903477,0.0,0.7431145431145432,-6.25,-0.0370967741935452,6.25,-0.5437525437525258,6.25,0.05105105105105098,0.0,0.0,0.0,1.45606229143493,-12.5,0.2315832315832416,0.0,0.0,0.0,-0.0028743028743028792,0.0,0.4452354467927266,0.0,-0.3678160919540119,0.0,-0.14290004290004296,0.0,-0.1302016302016302,0.0,0.1334961334961323,0.0,5.962333762333749,0.0,0.2159159159159159,0.0,0.24920634920634924,0.0,-0.10378510378510505,6.25,2.1887601887601784,-6.25,-0.1921492921492922,0.0,-0.18447018447018446,0.0,1.0056980056980054,-6.25,0.7729064039408736,-6.25,0.0,0.0,0.24834834834834837,0.0,-0.004105090311989714,6.25,4.677477477477464,6.25,-0.16550836550836553,0.0,-0.27957957957957963,6.25,0.3007733007733009,0.0,0.38013136288997706,0.0,-0.1286143286143287,0.0,0.0,0.0,0.14954954954954433,0.0,4.191248391248401,0.0,-0.08936078936078937,6.25,0.0,0.0,-0.04285714285713763,12.5,0.2619047619047655,-6.25,0.0031746031746031442,0.0,-0.7184899184899185,12.5,0.9990147783251232,-6.25,0.47241379310344705,-6.25,-0.21166881166881166,0.0,-0.5493779493779494,12.5,0.8610837438423596,0.0,0.7433497536945727,-6.25,-1.0137709137709137,12.5,0.0,0.0,-0.02052785923753724,6.25,-0.00295566502464441,0.0,-0.020077220077220164,0.0,0.35135135135135137,0.0,0.5330330330330331,0.0,0.8441972562106069,-12.5,0.6651651651651652,-6.25,-0.09661089661089663,0.0
