Experiment Name,genotyping
Run Start,12/1/2011 9:42:07 AM
Run Finish,12/1/2011 11:03:41 AM
Application,High Resolution Melt/DNA Binding Dye/DNA/PCR with HRM Curve
Instrument,Eco™ Real-Time PCR System
Software,Eco™ Software v3.0.16.0
Last Modified,12/1/2011 11:19:13 AM

Assay Name,Reference,
z14 HRMA,,

Well,Exclude,Sample Name,Assay Name,Assay Role,Call,Cq,Cq Mean,Std. Dev. Cq,Baseline Setting,Threshold Setting,Baseline Start,Baseline End,Cq Threshold,Pre-Melt Start,Pre-Melt End,Post-Melt Start,Post-Melt End,Tm1,Tm2,Tm3,
A1,,askospos,z14 HRMA,Unknown,,25.0711,20.9255272,1.1938379,Auto,Manual,3,23,0.0200000,62.7000000,81.1000000,89.4000000,92.0000000,85,82.09999999999999,90.3,
A2,,askospos,z14 HRMA,Unknown,,20.0364,20.9255272,1.1938379,Auto,Manual,7,15,0.0200000,62.7000000,81.1000000,89.4000000,92.0000000,85.09999999999999,,,
A3,,askospos,z14 HRMA,Unknown,,21.2875,20.9255272,1.1938379,Auto,Manual,7,16,0.0200000,62.7000000,81.1000000,89.4000000,92.0000000,85.09999999999999,,,
A4,,askospos,z14 HRMA,Unknown,,20.3766,20.9255272,1.1938379,Auto,Manual,7,16,0.0200000,62.7000000,81.1000000,89.4000000,92.0000000,85.09999999999999,82.2,,
A5,,askospos,z14 HRMA,Unknown,,20.4057,20.9255272,1.1938379,Auto,Manual,7,15,0.0200000,62.7000000,81.1000000,89.4000000,92.0000000,85,82.09999999999999,,
A6,,askospos,z14 HRMA,Unknown,,20.5109,20.9255272,1.1938379,Auto,Manual,7,16,0.0200000,62.7000000,81.1000000,89.4000000,92.0000000,85,,,
A7,,askospos,z14 HRMA,Unknown,,21.1626,20.9255272,1.1938379,Auto,Manual,7,16,0.0200000,62.7000000,81.1000000,89.4000000,92.0000000,85,82.2,,
A8,,askospos,z14 HRMA,Unknown,,20.4168,20.9255272,1.1938379,Auto,Manual,7,16,0.0200000,62.7000000,81.1000000,89.4000000,92.0000000,85,64.7,,
B1,Excluded,askospos,z14 HRMA,Unknown,,,,,Auto,Manual,3,15,0.0200000,62.7000000,81.1000000,89.4000000,92.0000000,,,,
B2,,askospos,z14 HRMA,Unknown,,20.0804,20.9255272,1.1938379,Auto,Manual,7,15,0.0200000,62.7000000,81.1000000,89.4000000,92.0000000,85.2,,,
B3,,askospos,z14 HRMA,Unknown,,21.2170,20.9255272,1.1938379,Auto,Manual,7,16,0.0200000,62.7000000,81.1000000,89.4000000,92.0000000,85,82.2,,
B4,,askospos,z14 HRMA,Unknown,,21.0219,20.9255272,1.1938379,Auto,Manual,7,16,0.0200000,62.7000000,81.1000000,89.4000000,92.0000000,85,,,
B5,,askospos,z14 HRMA,Unknown,,21.1613,20.9255272,1.1938379,Auto,Manual,7,16,0.0200000,62.7000000,81.1000000,89.4000000,92.0000000,85,82.09999999999999,,
B6,,askospos,z14 HRMA,Unknown,,19.0635,20.9255272,1.1938379,Auto,Manual,7,14,0.0200000,62.7000000,81.1000000,89.4000000,92.0000000,84.8,64.7,93.09999999999999,
B7,,askospos,z14 HRMA,Unknown,,21.0338,20.9255272,1.1938379,Auto,Manual,5,16,0.0200000,62.7000000,81.1000000,89.4000000,92.0000000,85,82.09999999999999,,
B8,,askospos,z14 HRMA,Unknown,,21.5253,20.9255272,1.1938379,Auto,Manual,7,16,0.0200000,62.7000000,81.1000000,89.4000000,92.0000000,85.09999999999999,,,
C1,,askospos,z14 HRMA,Unknown,,20.8483,20.9255272,1.1938379,Auto,Manual,6,15,0.0200000,62.7000000,81.1000000,89.4000000,92.0000000,85,,,
C2,,askospos,z14 HRMA,Unknown,,21.0880,20.9255272,1.1938379,Auto,Manual,7,15,0.0200000,62.7000000,81.1000000,89.4000000,92.0000000,85,,,
