Detector,Reporter,Start,End,Threshold
SYBR,SYBR,(Auto),(Auto),Auto:0.554813
Well,SampleName,Start,End,Ct
1,ACT CA1 LC 218.3 C57,1,17,24.0792
2,ACT CA1 LC 218.3 C57,1,30
3,ACT CA1 LC 218.3 C57,1,16,24.5150
4,ACT CA1 LC 218.3 C57,1,25
5,ACT CA1 LC 236.7 FVB,1,24,29.1448
6,ACT CA1 LC 236.7 FVB,1,23,29.3769
7,ACT CA1 LC 236.7 FVB,1,24,29.2822
8,ACT CA1 LC 236.7 FVB,1,43
9,ACT CA1 KO118.6 FVB,1,23,29.3556
10,ACT CA1 KO118.6 FVB,1,23,29.1517
11,ACT CA1 KO118.6 FVB,1,22,28.9656
12,ACT CA1 KO118.6 FVB,1,18
13,BDNF CA1 LC 218.3 C57,1,27,33.2349
14,BDNF CA1 LC 218.3 C57,1,27,33.4246
15,BDNF CA1 LC 218.3 C57,1,26,33.0732
16,BDNF CA1 LC 218.3 C57,1,43
17,BDNF CA1 LC 236.7 FVB,1,27,35.8194
18,BDNF CA1 LC 236.7 FVB,1,30,35.5100
19,BDNF CA1 LC 236.7 FVB,1,27,35.6159
20,BDNF CA1 LC 236.7 FVB,1,33
21,BDNF CA1 KO118.6 FVB,1,31,37.5740
22,BDNF CA1 KO118.6 FVB,1,30,38.0152
23,BDNF CA1 KO118.6 FVB,1,31,38.3562
24,BDNF CA1 KO118.6 FVB,1,8
25,ACT CA1 LC 239.4 C57,1,17,24.9372
26,ACT CA1 LC 239.4 C57,1,20,25.4411
27,ACT CA1 LC 239.4 C57,1,20,25.2095
28,ACT CA1 LC 239.4 C57,1,23
29,ACT CA1 KO121.3 C57,1,19,24.3735
30,ACT CA1 KO121.3 C57,1,17,24.8589
31,ACT CA1 KO121.3 C57,1,17,25.0927
32,ACT CA1 KO121.3 C57,1,38
33,ACT CA1 KO119.1 FVB,1,17,23.3552
34,ACT CA1 KO119.1 FVB,1,19,25.0000
35,ACT CA1 KO119.1 FVB,1,20,25.2267
36,ACT CA1 KO119.1 FVB,1,29
37,BDNF CA1 LC 239.4 C57,1,26,32.7375
38,BDNF CA1 LC 239.4 C57,1,26,32.8284
39,BDNF CA1 LC 239.4 C57,1,26,32.8032
40,BDNF CA1 LC 239.4 C57,1,43
41,BDNF CA1 KO121.3 C57,1,25,32.7792
42,BDNF CA1 KO121.3 C57,1,26,32.7647
43,BDNF CA1 KO121.3 C57,1,26,32.8895
44,BDNF CA1 KO121.3 C57,1,43
45,BDNF CA1 KO119.1 FVB,1,26,32.3212
46,BDNF CA1 KO119.1 FVB,1,25,32.8429
47,BDNF CA1 KO119.1 FVB,1,26,32.7443
48,BDNF CA1 KO119.1 FVB,1,32
