"Pos";"Name";"Ct SYBR";"Ct Mean SYBR";"Ct Dev. SYBR";"Amount SYBR";"Target SYBR"
"A1";"ctrl";18,00;18,02;0,02;"-";"act"
"A2";"ctrl";18,05;18,02;0,02;"-";"act"
"A3";"ctrl";18,03;18,02;0,02;"-";"act"
"A4";"ctrl";23,79;23,77;0,05;"-";"beaf"
"A5";"ctrl";23,72;23,77;0,05;"-";"beaf"
"A6";"ctrl";23,81;23,77;0,05;"-";"beaf"
"A7";"ctrl";23,51;23,58;0,10;"-";"ctcf"
"A8";"ctrl";23,53;23,58;0,10;"-";"ctcf"
"A9";"ctrl";23,69;23,58;0,10;"-";"ctcf"
"A10";"ctrl";26,20;26,54;0,30;"-";"dip"
"A11";"ctrl";26,66;26,54;0,30;"-";"dip"
"A12";"ctrl";26,76;26,54;0,30;"-";"dip"
"B1";"si";18,70;18,65;0,06;"-";"act"
"B2";"si";18,66;18,65;0,06;"-";"act"
"B3";"si";18,58;18,65;0,06;"-";"act"
"B4";"si";25,93;25,99;0,06;"-";"beaf"
"B5";"si";25,98;25,99;0,06;"-";"beaf"
"B6";"si";26,05;25,99;0,06;"-";"beaf"
"B7";"si";24,07;24,04;0,15;"-";"ctcf"
"B8";"si";24,17;24,04;0,15;"-";"ctcf"
"B9";"si";23,87;24,04;0,15;"-";"ctcf"
"B10";"si";26,75;26,93;0,23;"-";"dip"
"B11";"si";27,19;26,93;0,23;"-";"dip"
"B12";"si";26,87;26,93;0,23;"-";"dip"
"C1";"";17,78;17,85;0,07;"-";""
"C2";"";17,85;17,85;0,07;"-";""
"C3";"";17,92;17,85;0,07;"-";""
"C4";"";23,52;23,48;0,04;"-";""
"C5";"";23,48;23,48;0,04;"-";""
"C6";"";23,43;23,48;0,04;"-";""
"C7";"";27,27;27,02;0,22;"-";""
"C8";"";26,92;27,02;0,22;"-";""
"C9";"";26,86;27,02;0,22;"-";""
"C10";"";25,81;25,86;0,06;"-";""
"C11";"";25,83;25,86;0,06;"-";""
"C12";"";25,93;25,86;0,06;"-";""
"D1";"";17,70;17,69;0,01;"-";""
"D2";"";17,68;17,69;0,01;"-";""
"D3";"";17,68;17,69;0,01;"-";""
"D4";"";25,42;25,41;0,05;"-";""
"D5";"";25,44;25,41;0,05;"-";""
"D6";"";25,36;25,41;0,05;"-";""
"D7";"";24,75;24,83;0,08;"-";""
"D8";"";24,92;24,83;0,08;"-";""
"D9";"";24,82;24,83;0,08;"-";""
"D10";"";25,59;25,74;0,13;"-";""
"D11";"";25,82;25,74;0,13;"-";""
"D12";"";25,82;25,74;0,13;"-";""
"E1";"";17,72;17,71;0,06;"-";""
"E2";"";17,76;17,71;0,06;"-";""
"E3";"";17,65;17,71;0,06;"-";""
"E4";"";23,50;23,60;0,10;"-";""
"E5";"";23,69;23,60;0,10;"-";""
"E6";"";23,60;23,60;0,10;"-";""
"E7";"";23,43;23,57;0,13;"-";""
"E8";"";23,67;23,57;0,13;"-";""
"E9";"";23,61;23,57;0,13;"-";""
"E10";"";33,77;"";"";"-";""
"E11";"";"";"";"";"-";""
"E12";"";"";"";"";"-";""
"F1";"";36,08;34,94;1,07;"-";""
"F2";"";34,78;34,94;1,07;"-";""
"F3";"";33,96;34,94;1,07;"-";""
"F4";"";"";"";"";"-";""
"F5";"";"";"";"";"-";""
"F6";"";"";"";"";"-";""
"F7";"";"";"";"";"-";""
"F8";"";"";"";"";"-";""
"F9";"";"";"";"";"-";""
"F10";"";"";"";"";"-";""
"F11";"";"";"";"";"-";""
"F12";"";"";"";"";"-";""
"G1";"";17,33;17,21;0,12;"-";""
"G2";"";17,08;17,21;0,12;"-";""
"G3";"";17,21;17,21;0,12;"-";""
"G4";"";23,02;23,10;0,07;"-";""
"G5";"";23,16;23,10;0,07;"-";""
"G6";"";23,12;23,10;0,07;"-";""
"G7";"";27,55;"";"";"-";""
"G8";"";"";"";"";"-";""
"G9";"";"";"";"";"-";""
"G10";"";"";"";"";"-";""
"G11";"";"";"";"";"-";""
"G12";"";"";"";"";"-";""
"H1";"";17,91;17,91;0,03;"-";""
"H2";"";17,89;17,91;0,03;"-";""
"H3";"";17,95;17,91;0,03;"-";""
"H4";"";26,72;26,63;0,15;"-";""
"H5";"";26,71;26,63;0,15;"-";""
"H6";"";26,46;26,63;0,15;"-";""
"H7";"";26,27;26,27;0,04;"-";""
"H8";"";26,23;26,27;0,04;"-";""
"H9";"";26,31;26,27;0,04;"-";""
"H10";"";"";"";"";"-";""
"H11";"";"";"";"";"-";""
"H12";"";25,03;"";"";"-";""

"Analysis Parameters"
"Type of Application";"Quantification"
"Dye(s)";"SYBR"
"Internal Reference Dye";"OFF"
"Threshold setting";"Noiseband"
"Threshold level";912
"Baseline setting";"Automatic"
"Baseline range (from cycle no. ... to)";"n/a"
"Drift Correction";"OFF"
"GOI";"act"
"SOI";"ctrl"
