* Block Type = 96well
* Chemistry = SYBR_GREEN
* Experiment File Name = C:\Documents and Settings\Mag\Bureau\TEST2.eds
* Experiment Run End Time = Not Started
* Instrument Type = steponeplus
* Passive Reference = 

[Results]
Well	Sample Name	Target Name	RQ	RQ Min	RQ Max	Cт	Cт Mean	Cт SD	ΔCт Mean	ΔCт SE	ΔΔCт	Automatic Ct Threshold	Ct Threshold	Automatic Baseline	Baseline Start	Baseline End	Tm1	Tm2	Tm3	Comments	HIGHSD	OUTLIERRG	MTP
A1	C42109	ACTIN				19,7085	17,9969	3,0041				true	1915,4797	true	3	13	82,9817				Y	N	N
A2	C42109	ACTIN				14,5282	17,9969	3,0041				true	1915,4797	true	1	3					Y	Y	N
A3	C42109	ACTIN				19,754	17,9969	3,0041				true	1915,4797	true	3	12	83,1284	74,3048			Y	N	Y
A4	C42109	BEAF	0,5658	0,0199	16,1118	24,1273	23,8506	0,2463	5,8537	1,7402	0,8216	true	1504,2144	true	3	17	76,3986				N	N	N
A5	C42109	BEAF	0,5658	0,0199	16,1118	23,6555	23,8506	0,2463	5,8537	1,7402	0,8216	true	1504,2144	true	3	19	76,3988				N	N	N
A6	C42109	BEAF	0,5658	0,0199	16,1118	23,7689	23,8506	0,2463	5,8537	1,7402	0,8216	true	1504,2144	true	3	18	76,3988				N	N	N
B1	B42109	ACTIN				19,7646	19,5921	0,2007				true	1915,4797	true	3	15	82,8322				N	N	N
B2	B42109	ACTIN				19,3717	19,5921	0,2007				true	1915,4797	true	3	13	82,6826				N	N	N
B3	B42109	ACTIN				19,6398	19,5921	0,2007				true	1915,4797	true	3	13	82,8293				N	N	N
B4	B42109	BEAF	0,1221	0,0833	0,1791	27,8678	27,6578	0,2799	8,0657	0,1989	3,0336	true	1504,2144	true	3	21	76,0995				N	N	N
B5	B42109	BEAF	0,1221	0,0833	0,1791	27,7656	27,6578	0,2799	8,0657	0,1989	3,0336	true	1504,2144	true	3	22	76,0997				N	N	N
B6	B42109	BEAF	0,1221	0,0833	0,1791	27,34	27,6578	0,2799	8,0657	0,1989	3,0336	true	1504,2144	true	3	16	76,0997				N	N	N
C1	C421091/4	ACTIN				21,3901	21,4531	0,2044				true	1915,4797	true	3	16	82,6826				N	N	N
C2	C421091/4	ACTIN				21,2876	21,4531	0,2044				true	1915,4797	true	3	16	82,6826				N	N	N
C3	C421091/4	ACTIN				21,6815	21,4531	0,2044				true	1915,4797	true	3	16	82,8293				N	N	N
