* Block Type = 96well
* Chemistry = SYBR_GREEN
* Experiment File Name = D:\Applied Biosystems\StepOne Software v2.0\experiments\mh0303.eds
* Experiment Run End Time = 2008-03-03 18:02:16 PM CET
* Instrument Type = steponeplus
* Passive Reference = 

[Results]
Well	Sample Name	Target Name	Task	Reporter	Quencher	Cт	Cт Mean	Cт SD	Quantity	Normalized Quantity	Normalized Quantity Mean	Normalized Quantity SEM	RQ	RQ Min	RQ Max	Efficiency	Slope	Automatic Ct Threshold	Ct Threshold	Automatic Baseline	Baseline Start	Baseline End	Tm1	Tm2	Tm3	Comments	AMPNC	HIGHSD
A1	5	18S	UNKNOWN	SYBR	None	4.5686	4.3874	0.1574			1	0						true	3036.1658	true	1	2					N	N
A2	5	18S	UNKNOWN	SYBR	None	4.3102	4.3874	0.1574			1	0						true	3036.1658	true	1	2					N	N
A3	5	18S	UNKNOWN	SYBR	None	4.2835	4.3874	0.1574			1	0						true	3036.1658	true	1	2	78.5177				N	N
A4	7	18S	UNKNOWN	SYBR	None	6.0946	6.1233	0.0248			1	0						true	3036.1658	true	1	2	78.5177				N	N
A5	7	18S	UNKNOWN	SYBR	None	6.1389	6.1233	0.0248			1	0						true	3036.1658	true	1	2	78.5058				N	N
A6	7	18S	UNKNOWN	SYBR	None	6.1362	6.1233	0.0248			1	0						true	3036.1658	true	1	2	78.5058				N	N
A7	9	18S	UNKNOWN	SYBR	None	8.1606	8.117	0.108			1	0						true	3036.1658	true	1	2	78.5035				N	N
A8	9	18S	UNKNOWN	SYBR	None	7.994	8.117	0.108			1	0						true	3036.1658	true	1	2	78.5035				N	N
A9	9	18S	UNKNOWN	SYBR	None	8.1964	8.117	0.108			1	0						true	3036.1658	true	1	2	78.1191				N	N
A10	11	18S	UNKNOWN	SYBR	None	10.2138	10.1594	0.0476			1	0						true	3036.1658	true	1	2	78.1191				N	N
A11	11	18S	UNKNOWN	SYBR	None	10.1253	10.1594	0.0476			1	0						true	3036.1658	true	1	2	78.4997				N	N
A12	11	18S	UNKNOWN	SYBR	None	10.1391	10.1594	0.0476			1	0						true	3036.1658	true	1	2	78.4997				N	N
