Well / Set	Dye	Content	Description	Efficiency	C(t)	moles	Avg C(t)	Max C(t)	Min C(t)	C(t) SD	Avg moles	Max moles	Min moles	moles SD	Wellset Type	
																
																
A1	SBG1	Sample	mSMRTtau Day -3 (091209) - Pck1	1.60	31.55											
A2	SBG1	Sample	mSMRTalpha Day -3 (091209) - Pck1	1.68	32.16											
A3	SBG1	Sample	mSMRTgamma Day -3 (091209) - Pck1	1.71	31.49											
A4	SBG1	Sample	mNCoRomega Day -3 (091209) - Pck1	1.74	31.93											
A5	SBG1	Sample	mNCoRdelta Day -3 (091209) - Pck1	1.80	32.49											
A6	SBG1	Sample	Vector Day -3 (091209) - Pck1	1.77	33.05											
A7	SBG1	Sample	mSMRTtau Day 8 (091209) - Pck1	2.05	22.50											
A8	SBG1	Sample	mSMRTalpha Day 8 (091209) - Pck1	1.94	25.04											
A9	SBG1	Sample	mSMRTgamma Day 8 (091209) - Pck1	2.01	22.50											
A10	SBG1	Sample	mNCoRomega Day 8 (091209) - Pck1	1.55	22.93											
A11	SBG1	Sample	mNCoRdelta Day 8 (091209) - Pck1	1.96	23.09											
A12	SBG1	Sample	Vector Day 8 (091209) - Pck1	1.84	23.23											
B1	SBG1	Sample	mSMRTtau Day -2 (091809) - Pck1	1.70	31.69											
B2	SBG1	Sample	mSMRTalpha Day -2 (091809) - Pck1	1.73	32.90											
B3	SBG1	Sample	mSMRTgamma Day -2 (091809) - Pck1	1.75	31.38											
B4	SBG1	Sample	mNCoRomega Day -2 (091809) - Pck1	1.71	28.74											
B5	SBG1	Sample	mNCoRdelta Day -2 (091809) - Pck1	1.82	32.40											
B6	SBG1	Sample	Vector Day -2 (091809) - Pck1	1.78	32.54											
B7	SBG1	Sample	mSMRTtau Day 8 (091809) - Pck1	1.78	20.25											
B8	SBG1	Sample	mSMRTalpha Day 8 (091809) - Pck1	1.85	21.23											
B9	SBG1	Sample	mSMRTgamma Day 8 (091809) - Pck1	1.97	21.68											
B10	SBG1	Sample	mNCoRomega Day 8 (091809) - Pck1	1.86	22.16											
B11	SBG1	Sample	mNCoRdelta Day 8 (091809) - Pck1	2.00	20.61											
B12	SBG1	Sample	Vector Day 8 (091809) - Pck1	2.05	22.21											
C1	SBG1	Sample	mSMRTtau Day -3 (091209) - Cebpb-q3	1.96	18.94											
C2	SBG1	Sample	mSMRTalpha Day -3 (091209) - Cebpb-q3	1.91	18.95											
C3	SBG1	Sample	mSMRTgamma Day -3 (091209) - Cebpb-q3	1.75	18.64											
C4	SBG1	Sample	mNCoRomega Day -3 (091209) - Cebpb-q3	1.84	18.18											
C5	SBG1	Sample	mNCoRdelta Day -3 (091209) - Cebpb-q3	1.84	18.47											
C6	SBG1	Sample	Vector Day -3 (091209) - Cebpb-q3	1.91	18.81											
C7	SBG1	Sample	mSMRTtau Day 8 (091209) - Cebpb-q3	1.78	17.49											
C8	SBG1	Sample	mSMRTalpha Day 8 (091209) - Cebpb-q3	1.87	18.69											
C9	SBG1	Sample	mSMRTgamma Day 8 (091209) - Cebpb-q3	1.89	18.06											
C10	SBG1	Sample	mNCoRomega Day 8 (091209) - Cebpb-q3	1.55	17.57											
