Run Summary        (Smart Cycler 2.0d)
Run Name:,dotA- 455-468
Started At:,"Oct 11, 2010 11:54 AM"
Number of Sites:,14

Cycle Data

Instrument A
,A1,A1,A1,A1,A1,A1,A1,A1,A2,A2,A2,A2,A2,A2,A2,A2,A3,A3,A3,A3,A3,A3,A3,A3,A4,A4,A4,A4,A4,A4,A4,A4,A5,A5,A5,A5,A5,A5,A5,A5,A6,A6,A6,A6,A6,A6,A6,A6,A7,A7,A7,A7,A7,A7,A7,A7,A8,A8,A8,A8,A8,A8,A8,A8,A9,A9,A9,A9,A9,A9,A9,A9,A10,A10,A10,A10,A10,A10,A10,A10,A11,A11,A11,A11,A11,A11,A11,A11,A12,A12,A12,A12,A12,A12,A12,A12,A13,A13,A13,A13,A13,A13,A13,A13,A14,A14,A14,A14,A14,A14,A14,A14
,FAM,FAM D2,Cy3,Cy3 D2,TxR,TxR D2,Cy5,Cy5 D2,FAM,FAM D2,Cy3,Cy3 D2,TxR,TxR D2,Cy5,Cy5 D2,FAM,FAM D2,Cy3,Cy3 D2,TxR,TxR D2,Cy5,Cy5 D2,FAM,FAM D2,Cy3,Cy3 D2,TxR,TxR D2,Cy5,Cy5 D2,FAM,FAM D2,Cy3,Cy3 D2,TxR,TxR D2,Cy5,Cy5 D2,FAM,FAM D2,Cy3,Cy3 D2,TxR,TxR D2,Cy5,Cy5 D2,FAM,FAM D2,Cy3,Cy3 D2,TxR,TxR D2,Cy5,Cy5 D2,FAM,FAM D2,Cy3,Cy3 D2,TxR,TxR D2,Cy5,Cy5 D2,FAM,FAM D2,Cy3,Cy3 D2,TxR,TxR D2,Cy5,Cy5 D2,FAM,FAM D2,Cy3,Cy3 D2,TxR,TxR D2,Cy5,Cy5 D2,FAM,FAM D2,Cy3,Cy3 D2,TxR,TxR D2,Cy5,Cy5 D2,FAM,FAM D2,Cy3,Cy3 D2,TxR,TxR D2,Cy5,Cy5 D2,FAM,FAM D2,Cy3,Cy3 D2,TxR,TxR D2,Cy5,Cy5 D2,FAM,FAM D2,Cy3,Cy3 D2,TxR,TxR D2,Cy5,Cy5 D2
Cycle #,FAM,FAM D2,Cy3,Cy3 D2,TxR,TxR D2,Cy5,Cy5 D2,FAM,FAM D2,Cy3,Cy3 D2,TxR,TxR D2,Cy5,Cy5 D2,FAM,FAM D2,Cy3,Cy3 D2,TxR,TxR D2,Cy5,Cy5 D2,FAM,FAM D2,Cy3,Cy3 D2,TxR,TxR D2,Cy5,Cy5 D2,FAM,FAM D2,Cy3,Cy3 D2,TxR,TxR D2,Cy5,Cy5 D2,FAM,FAM D2,Cy3,Cy3 D2,TxR,TxR D2,Cy5,Cy5 D2,FAM,FAM D2,Cy3,Cy3 D2,TxR,TxR D2,Cy5,Cy5 D2,FAM,FAM D2,Cy3,Cy3 D2,TxR,TxR D2,Cy5,Cy5 D2,FAM,FAM D2,Cy3,Cy3 D2,TxR,TxR D2,Cy5,Cy5 D2,FAM,FAM D2,Cy3,Cy3 D2,TxR,TxR D2,Cy5,Cy5 D2,FAM,FAM D2,Cy3,Cy3 D2,TxR,TxR D2,Cy5,Cy5 D2,FAM,FAM D2,Cy3,Cy3 D2,TxR,TxR D2,Cy5,Cy5 D2,FAM,FAM D2,Cy3,Cy3 D2,TxR,TxR D2,Cy5,Cy5 D2,FAM,FAM D2,Cy3,Cy3 D2,TxR,TxR D2,Cy5,Cy5 D2
1,2.6616935483870967,0.0,-3.9128205128205127,0.0,-0.2327327327327328,0.0,0.0,0.0,3.1510567296996657,0.0,-2.7641025641025623,0.0,0.0,0.0,0.04937794937794937,0.0,1.2959584723767152,0.0,-7.585641025641021,0.0,0.721063921063921,0.0,-0.16623766623766623,0.0,2.7232397232397236,0.0,-2.6461538461538474,0.0,0.05195195195195195,0.0,0.31587301587301586,0.0,2.6568986568986563,0.0,-1.2492307692307691,0.0,-0.1642213642213642,0.0,0.8605748605748605,0.0,2.0911680911680905,0.0,-1.0471794871794873,0.0,0.0,0.0,0.26096096096096094,0.0,2.8503010399562125,0.0,-5.410256410256408,0.0,-0.3258687258687259,0.0,0.8402402402402402,0.0,3.852055352055352,0.0,-1.4482051282051283,0.0,-0.297983697983698,0.0,0.0,0.0,0.5378378378378382,0.0,-5.271794871794873,0.0,-0.1190905190905191,0.0,0.0,0.0,1.9330049261083742,0.0,-4.635897435897436,0.0,-0.26349206349206356,0.0,-0.7166881166881167,0.0,-0.5596059113300483,0.0,-8.377435897435896,0.0,1.7531960531960533,0.0,0.37314457314457317,0.0,1.8197044334975367,0.0,-0.458461538461537,0.0,-0.18133848133848132,0.0,0.0,0.0,2.900476539589443,0.0,-5.273846153846153,0.0,-0.3516087516087517,0.0,0.31981981981981983,0.0,2.114114114114114,0.0,-7.394871794871794,0.0,-0.42942942942942947,0.0,-0.11643071643071644,0.0
2,1.8475806451612917,0.0,-3.449572649572626,0.0,-0.19219219219219244,0.0,0.0,0.0,1.3374860956618495,0.0,-0.7760683760683708,0.0,0.0,0.0,0.04191334191334191,0.0,1.4601408972932903,0.0,-5.706324786324782,0.0,-0.25950235950235956,0.0,-0.16108966108966108,0.0,1.9247049247049206,0.0,-1.497435897435903,0.0,0.07537537537537536,0.0,0.30634920634920637,0.0,1.8339438339438365,0.0,-1.1805128205128086,0.0,-0.1682110682110682,0.0,-0.14586014586014587,0.0,2.364672364672363,0.0,-0.8601709401709274,0.0,0.0,0.0,0.25915915915915916,0.0,3.013957307060755,0.0,-4.427350427350432,0.0,-0.302960102960103,0.0,0.8231231231231231,0.0,3.05901505901506,0.0,0.49504273504274804,0.0,-0.27378807378807385,0.0,0.0,0.0,-0.3747747747747813,0.0,-3.945299145299123,0.0,0.8851565851565851,0.0,0.0,0.0,2.2221674876847355,0.0,-3.38290598290597,0.0,-0.22539682539682548,0.0,0.283054483054483,0.0,0.6630541871921211,0.0,-7.009572649572641,0.0,0.7582153582153582,0.0,-0.6157872157872157,0.0,1.111330049261087,0.0,-1.1835897435897516,0.0,-0.1574002574002574,0.0,1.0,0.0,2.054618768328448,0.0,-4.122051282051291,0.0,-0.3042471042471043,0.0,0.3243243243243243,0.0,1.3168168168168226,0.0,-5.242735042735039,0.0,-0.415915915915916,0.0,-0.1135993135993136,0.0
3,1.0334677419354867,6.25,-3.9863247863247966,18.75,-0.15165165165165165,0.0,0.0,0.0,2.523915461624026,-6.25,-0.7880341880341791,-12.5,0.0,0.0,0.03444873444873444,0.0,0.6243233222098654,0.0,-3.8270085470085426,-12.5,-0.24006864006864012,6.25,-0.15594165594165593,0.0,2.1261701261701322,0.0,-0.3487179487179583,-12.5,0.09879879879879878,0.0,0.29682539682539677,0.0,2.010989010989009,0.0,-0.11179487179487638,-6.25,-0.1722007722007722,0.0,0.8477048477048477,-6.25,0.6381766381766355,12.5,-0.673162393162396,6.25,0.0,0.0,0.2573573573573574,0.0,1.1776135741652978,12.5,-2.4444444444444557,-12.5,-0.28005148005148006,0.0,0.8060060060060059,-6.25,2.265974765974768,6.25,0.43829059829059586,-12.5,-0.24959244959244958,0.0,0.0,0.0,-0.2873873873873866,6.25,-2.6188034188034295,-6.25,-0.1105963105963106,0.0,0.0,0.0,1.511330049261083,0.0,-2.129914529914532,-6.25,-0.18730158730158739,0.0,0.2827970827970827,-6.25,-0.11428571428570956,0.0,-5.641709401709415,6.25,0.7632346632346633,0.0,0.39528099528099525,-6.25,1.402955665024637,0.0,0.09128205128206218,-6.25,-0.13346203346203345,0.0,0.0,0.0,2.208760997067453,6.25,-1.9702564102563997,-6.25,-0.256885456885457,0.0,-0.6711711711711712,12.5,1.5195195195195172,0.0,-4.090598290598284,-6.25,-0.4024024024024025,0.0,-0.11076791076791077,0.0
4,1.2193548387096746,0.0,-2.52307692307691,0.0,-0.1111111111111113,0.0,0.0,0.0,0.7103448275862096,6.25,-0.7999999999999875,6.25,0.0,0.0,0.026984126984126982,0.0,0.7885057471264405,0.0,-2.9476923076923036,-6.25,-0.2206349206349206,0.0,0.8492063492063492,-12.5,1.3276353276353292,0.0,-0.20000000000001364,-6.25,0.12222222222222222,0.0,-0.7126984126984127,12.5,1.1880341880341894,0.0,-0.04307692307691582,-6.25,-0.1761904761904762,0.0,-0.15873015873015872,0.0,0.911680911680908,12.5,0.5138461538461638,-12.5,0.0,0.0,0.2555555555555555,0.0,1.3412698412698403,6.25,-2.4615384615384515,0.0,-0.2571428571428572,0.0,-0.21111111111111114,12.5,1.472934472934476,6.25,0.3815384615384721,0.0,-0.22539682539682543,0.0,0.0,0.0,-0.2000000000000061,0.0,-1.2923076923076793,-12.5,0.8936507936507936,0.0,0.0,0.0,0.8004926108374446,12.5,-1.876923076923066,0.0,-0.1492063492063493,0.0,0.2825396825396824,0.0,0.10837438423645983,6.25,-3.273846153846159,-12.5,0.7682539682539683,-6.25,0.40634920634920635,-6.25,1.694581280788173,-6.25,-0.6338461538461524,0.0,-0.10952380952380952,0.0,0.0,6.25,2.3629032258064577,-6.25,-0.818461538461537,-18.75,-0.20952380952380958,0.0,-0.6666666666666667,12.5,1.722222222222226,-6.25,-2.938461538461529,0.0,-0.3888888888888889,6.25,-0.10793650793650794,0.0
5,0.4052419354838698,6.25,-1.0598290598290805,-18.75,-0.0705705705705705,0.0,0.0,0.0,0.8967741935483862,12.5,-0.8119658119658243,6.25,0.0,0.0,0.019519519519519517,0.0,-0.04731182795698444,6.25,-2.0683760683760646,0.0,-0.2012012012012012,0.0,-0.14564564564564564,0.0,1.5291005291005264,0.0,-0.05128205128204058,0.0,0.14564564564564564,-6.25,0.2777777777777778,-6.25,1.3650793650793622,0.0,0.025641025641016314,0.0,-0.1801801801801802,0.0,-0.16516516516516516,6.25,1.1851851851851878,-6.25,0.7008547008546953,-12.5,0.0,0.0,0.2537537537537537,0.0,1.5049261083743828,-6.25,-1.4786324786324758,0.0,-0.23423423423423426,0.0,-0.22822822822822825,6.25,1.6798941798941769,0.0,0.3247863247863199,0.0,-0.20120120120120127,0.0,0.0,0.0,-0.11261261261261138,0.0,-0.9658119658119858,-6.25,-0.1021021021021021,0.0,0.0,0.0,1.089655172413792,0.0,-0.6239316239316282,-6.25,-0.11111111111111117,0.0,0.28228228228228236,0.0,0.331034482758615,0.0,-1.905982905982904,-12.5,-0.22672672672672672,6.25,-0.5825825825825826,12.5,0.9862068965517233,0.0,-0.3589743589743671,6.25,-0.08558558558558559,0.0,0.0,0.0,2.5170454545454484,-12.5,0.33333333333332577,-12.5,-0.16216216216216223,0.0,0.3378378378378379,-6.25,0.9249249249249207,6.25,-1.7863247863247738,0.0,-0.3753753753753754,0.0,-0.10510510510510511,0.0
6,0.5911290322580648,0.0,-1.596581196581194,0.0,-0.030030030030030158,0.0,0.0,0.0,1.0832035595105698,0.0,0.17606837606836734,-6.25,0.0,0.0,0.012054912054912052,0.0,0.11687059695959065,6.25,-1.1890598290598258,-6.25,-0.18176748176748178,0.0,-0.1404976404976405,6.25,0.7305657305657237,0.0,0.09743589743590406,0.0,0.16906906906906907,0.0,0.2682539682539682,-6.25,0.5421245421245421,0.0,0.09435897435897686,0.0,-0.1841698841698842,0.0,-0.1716001716001716,0.0,1.4586894586894603,-6.25,-0.11213675213674491,6.25,0.0,0.0,0.2519519519519519,0.0,0.6685823754789253,0.0,-0.49572649572649996,-12.5,-0.21132561132561134,0.0,0.7546546546546546,-12.5,0.8868538868538849,0.0,0.26803418803419615,0.0,-0.177005577005577,0.0,0.0,0.0,-0.02522522522523088,0.0,-0.6393162393162356,0.0,0.9021450021450022,-6.25,0.0,0.0,1.3788177339901535,-12.5,-0.3709401709401618,-6.25,-0.07301587301587308,0.0,0.2820248820248821,-6.25,0.5536945812807844,0.0,-1.538119658119649,0.0,-0.2217074217074217,6.25,0.42848562848562854,-6.25,1.2778325123152734,0.0,-0.08410256410255329,0.0,-0.06164736164736164,-6.25,0.0,0.0,1.671187683284453,-6.25,-0.5148717948717831,0.0,-0.11480051480051488,0.0,0.34234234234234234,-6.25,1.1276276276276296,0.0,-0.6341880341880471,-6.25,0.6381381381381381,-6.25,-0.10227370227370228,0.0
7,0.7770161290322598,-6.25,-1.1333333333333075,12.5,0.010510510510510634,0.0,0.0,0.0,1.2696329254727463,-12.5,0.16410256410255897,-6.25,0.0,0.0,0.00459030459030459,0.0,0.2810530218761657,0.0,-0.3097435897435867,-12.5,-0.16233376233376237,0.0,-0.13534963534963534,0.0,0.9320309320309351,0.0,0.2461538461538487,-6.25,-0.8075075075075075,12.5,-0.7412698412698413,12.5,0.719169719169722,0.0,0.163076923076909,0.0,-0.1881595881595882,0.0,-0.17803517803517804,6.25,0.7321937321937327,0.0,0.07487179487178651,6.25,0.0,0.0,0.25015015015015013,0.0,0.8322386425834678,0.0,-0.5128205128205241,0.0,-0.18841698841698845,0.0,-0.2624624624624625,0.0,1.0938135938135929,0.0,0.211282051282044,0.0,-0.15280995280995285,0.0,0.0,0.0,0.06216216216216383,0.0,-0.3128205128204854,0.0,-0.09360789360789362,0.0,0.0,0.0,0.6679802955665008,0.0,-0.11794871794872393,0.0,-0.034920634920634984,0.0,0.2817674817674818,-6.25,0.7763546798029538,-6.25,-0.17025641025642244,-6.25,-0.2166881166881167,0.0,0.43955383955383953,-6.25,0.5694581280788237,0.0,0.19076923076923208,0.0,-0.037709137709137704,0.0,0.0,0.0,0.825329912023458,6.25,0.6369230769230796,-6.25,-0.0674388674388675,0.0,0.3468468468468469,-6.25,1.3303303303303242,-6.25,0.517948717948708,-18.75,-0.3483483483483483,0.0,-0.09944229944229944,0.0
8,-0.0370967741935452,6.25,-0.6700854700854779,6.25,0.05105105105105098,0.0,0.0,0.0,1.45606229143493,-12.5,0.1521367521367506,0.0,0.0,0.0,-0.0028743028743028792,0.0,0.4452354467927266,0.0,-0.43042735042734764,0.0,-0.14290004290004296,0.0,-0.1302016302016302,0.0,0.1334961334961323,0.0,0.3948717948717933,0.0,0.2159159159159159,0.0,0.24920634920634924,0.0,-0.10378510378510505,6.25,0.23179487179486954,-6.25,-0.1921492921492922,0.0,-0.18447018447018446,0.0,1.0056980056980054,-6.25,0.26188034188034637,-6.25,0.0,0.0,0.24834834834834837,0.0,-0.004105090311989714,6.25,-0.5299145299145198,6.25,-0.16550836550836553,0.0,-0.27957957957957963,6.25,0.3007733007733009,0.0,0.15452991452992024,0.0,-0.1286143286143287,0.0,0.0,0.0,0.14954954954954433,0.0,0.013675213675207942,0.0,-0.08936078936078937,6.25,0.0,0.0,-0.04285714285713763,12.5,0.1350427350427424,-6.25,0.0031746031746031442,0.0,-0.7184899184899185,12.5,0.9990147783251232,-6.25,0.19760683760683265,-6.25,-0.21166881166881166,0.0,-0.5493779493779494,12.5,0.8610837438423596,0.0,0.46564102564101745,-6.25,-1.0137709137709137,12.5,0.0,0.0,-0.02052785923753724,6.25,-0.21128205128205763,0.0,-0.020077220077220164,0.0,0.35135135135135137,0.0,0.5330330330330331,0.0,0.6700854700854632,-12.5,0.6651651651651652,-6.25,-0.09661089661089663,0.0
