"Excel Analysed Data Export"
"(C)Copyright 2003 Corbett Research, Pty Ltd. (R) All Rights Reserved."
"File";"Run 2010-09-22 (3).rex"
"Date";"22/09/2010"
"Time";"16:33:56"

"Quantitative analysis of Cycling A.FAM (Page 1)"

"No.";"Name";"Type";"Ct";"Given Conc (ng/ul)";"Calc Conc (ng/ul)";"% Var";"Rep. Ct";"Rep. Ct Std. Dev.";"Rep. Ct (95% CI)";"Rep. Calc. Conc.";"Rep. Calc. Conc. (95% CI)"
"1";"Col 10j 38+39 1/5";"Unknown";"18,33";"";"4,54";"";"18,33";"";"";"4,54";"[4,49 , 4,59]"
"2";"Col 10 j 38+39 1/10";"Unknown";"19,09";"";"2,81";"";"19,09";"";"";"2,81";"[2,78 , 2,83]"
"3";"Col 10 j 38+39 1/20";"Unknown";"20,01";"";"1,56";"";"20,01";"";"";"1,56";"[1,55 , 1,58]"
"4";"SP1 10j 38+39 1/5";"Unknown";"18,38";"";"4,40";"";"18,38";"";"";"4,40";"[4,35 , 4,45]"
"5";"SP1 10 j 38+39 1/10";"Unknown";"19,55";"";"2,08";"";"19,55";"";"";"2,08";"[2,07 , 2,10]"
"6";"SP1 10 j 38+39 1/20";"Unknown";"20,40";"";"1,22";"";"20,40";"";"";"1,22";"[1,20 , 1,23]"
"7";"SP3 10j 38+39 1/5";"Unknown";"18,67";"";"3,66";"";"18,67";"";"";"3,66";"[3,62 , 3,69]"
"8";"SP3 10 j 38+39 1/10";"Unknown";"19,42";"";"2,27";"";"19,42";"";"";"2,27";"[2,25 , 2,29]"
"9";"SP3 10 j 38+39 1/20";"Unknown";"20,70";"";"1,01";"";"20,70";"";"";"1,01";"[1,00 , 1,02]"
"10";"Col 21j 38+39 1/5";"Standard";"18,53";"4,00";"4,00";"0,0%";"18,53";"";"";"4,00";"[3,97 , 4,03]"
"11";"Col 21j 38+39 1/10";"Standard";"19,62";"2,00";"2,00";"0,1%";"19,62";"";"";"2,00";"[1,99 , 2,01]"
"12";"Col 21j 38+39 1/20";"Standard";"20,71";"1,00";"1,00";"0,0%";"20,71";"";"";"1,00";"[,99 , 1,01]"
"13";"SP1 21j 38+39 1/5";"Unknown";"18,20";"";"4,94";"";"18,20";"";"";"4,94";"[4,89 , 5,00]"
"14";"SP1 21j 38+39 1/10";"Unknown";"18,99";"";"2,99";"";"18,99";"";"";"2,99";"[2,96 , 3,01]"
"15";"SP1 21j 38+39 1/20";"Unknown";"19,92";"";"1,65";"";"19,92";"";"";"1,65";"[1,64 , 1,67]"
"16";"SP3 21j 38+39 1/5";"Unknown";"18,56";"";"3,92";"";"18,56";"";"";"3,92";"[3,87 , 3,96]"
"17";"SP3 21j 38+39 1/10";"Unknown";"19,28";"";"2,49";"";"19,28";"";"";"2,49";"[2,47 , 2,51]"
"18";"SP3 21j 38+39 1/20";"Unknown";"20,28";"";"1,32";"";"20,28";"";"";"1,32";"[1,30 , 1,33]"
"19";"Col 10j oGV34+35 1/5";"Unknown";"25,74";"";",04";"";"25,74";"";"";",04";"[,04 , ,04]"
"20";"Col 10j oGV34+35 1/10";"Unknown";"26,54";"";",02";"";"26,54";"";"";",02";"[,02 , ,03]"
"21";"Col 10j oGV34+35 1/20";"Unknown";"28,26";"";",01";"";"28,26";"";"";",01";"[,01 , ,01]"
"22";"SP1 10j oGV34+35 1/5";"Unknown";"23,77";"";",14";"";"23,77";"";"";",14";"[,14 , ,15]"
"23";"SP1 10j oGV34+35 1/10";"Unknown";"24,53";"";",09";"";"24,53";"";"";",09";"[,09 , ,09]"
