Well 	Assay 	Well Type 	Replicate 	Threshold (dRn) 	Ct (dRn) 	Quantity (copies) 	RSq (dRn) 	Slope (dRn) 	
  A1 	 SYBR 	  Unknown 	        1 	         0,0044 	   20,69 	       8,940e+003 	    0,997 	     -3,338 	
  A2 	 SYBR 	  Unknown 	        1 	         0,0044 	   20,61 	       9,465e+003 	    0,997 	     -3,338 	
  A3 	 SYBR 	  Unknown 	        1 	         0,0044 	   20,61 	       9,453e+003 	    0,997 	     -3,338 	
  A4 	 SYBR 	  Unknown 	        1 	         0,0044 	   20,80 	       8,298e+003 	    0,997 	     -3,338 	
  A5 	 SYBR 	  Unknown 	        1 	         0,0044 	   20,81 	       8,249e+003 	    0,997 	     -3,338 	
  A6 	 SYBR 	  Unknown 	        1 	         0,0044 	   20,60 	       9,515e+003 	    0,997 	     -3,338 	
  A7 	 SYBR 	  Unknown 	        1 	         0,0044 	   20,67 	       9,121e+003 	    0,997 	     -3,338 	
  A8 	 SYBR 	  Unknown 	        1 	         0,0044 	   20,67 	       9,108e+003 	    0,997 	     -3,338 	
  A9 	 SYBR 	  Unknown 	        1 	         0,0044 	   20,68 	       9,042e+003 	    0,997 	     -3,338 	
 A10 	 SYBR 	  Unknown 	        1 	         0,0044 	   20,68 	       9,040e+003 	    0,997 	     -3,338 	
 A11 	 SYBR 	  Unknown 	        1 	         0,0044 	   20,74 	       8,668e+003 	    0,997 	     -3,338 	
 A12 	 SYBR 	  Unknown 	        1 	         0,0044 	   21,01 	       7,211e+003 	    0,997 	     -3,338 	
  B1 	 SYBR 	  Unknown 	        1 	         0,0044 	   20,68 	       9,037e+003 	    0,997 	     -3,338 	
  B2 	 SYBR 	  Unknown 	        1 	         0,0044 	   20,65 	       9,206e+003 	    0,997 	     -3,338 	
  B3 	 SYBR 	  Unknown 	        1 	         0,0044 	   20,39 	       1,100e+004 	    0,997 	     -3,338 	
  B4 	 SYBR 	  Unknown 	        1 	         0,0044 	   20,58 	       9,648e+003 	    0,997 	     -3,338 	
  B5 	 SYBR 	  Unknown 	        1 	         0,0044 	   20,73 	       8,732e+003 	    0,997 	     -3,338 	
  B6 	 SYBR 	  Unknown 	        1 	         0,0044 	   20,69 	       8,977e+003 	    0,997 	     -3,338 	
  B7 	 SYBR 	  Unknown 	        1 	         0,0044 	   20,65 	       9,234e+003 	    0,997 	     -3,338 	
  B8 	 SYBR 	  Unknown 	        1 	         0,0044 	   20,59 	       9,600e+003 	    0,997 	     -3,338 	
  B9 	 SYBR 	  Unknown 	        1 	         0,0044 	   20,57 	       9,722e+003 	    0,997 	     -3,338 	
